"","X1","ID","weights","ss","healthcare","school","welfare","env","poor","sci","tax_mill","red_ineq","min_wage","job_gov","sex_orig","sex","white","black","asian","hisp","born","class","educ","income","age","black_favors","blm","black_deserve","black_try","slave","vote_duty","int_camp","int_pol","int_med","lib_con_spec","party_id","strong_weak","ind","seven_point","trad","true","bend","lib_pca1","pol_pca1","redist_pca1","spend_pca1","lib_pca1_scaled","redist_pca1_scaled","spend_pca1_scaled","pol_pca1_scaled"
"1178",1178,1178,0,3,NA,3,1,3,3,1,NA,NA,NA,3,1,1,1,0,0,0,1,1,9,25,41,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,3,NA,1,5,NA,NA,NA,0,0,-0.254953091837059,0.0444171228864551,-1.21394757586755e-16,-0.258830304315442,0.0449261112822216,6.95455484492392e-17
"1179",1179,1179,0.5419,3,1,3,1,1,3,1,1,NA,3,2,1,1,1,0,0,0,1,NA,13,14,28,4,15,5,2,5,NA,3,3,3,6,2,1,NA,7,3,2,4,0.147914838047804,0.251884377768792,-1.09652954398351,-0.580142634252962,0.147984007332762,-1.1132050743731,-0.586790653069465,0.251933668076226
"1180",1180,1180,1.4584,3,3,3,2,3,2,3,3,NA,3,4,2,0,1,0,0,0,1,2,16,16,66,3,NA,4,1,4,3,2,3,2,2,1,1,NA,1,4,3,2,-0.450046465162844,-0.457904726574139,-0.380535487041776,0.417132860192843,-0.450256919993504,-0.386322500363304,0.421912903823173,-0.457994332229513
"1181",1181,2001,1.7676,3,2,3,2,3,2,1,3,1,4,7,1,1,1,0,0,0,1,2,11,22,51,3,50,3,4,4,NA,3,3,3,NA,3,NA,2,4,3,5,2,0.512847138017207,0.251884377768792,1.59050533870346,-0.0970508813387167,0.513086960270998,1.61469303182662,-0.0981630148852001,0.251933668076226
"1182",1182,2002,3.2492,2,2,3,2,3,2,3,2,2,4,6,1,1,1,0,0,0,1,NA,9,13,26,3,16,5,1,2,NA,2,2,2,NA,3,NA,2,4,3,3,4,0.629361639637829,-1.14048049220168,1.23250831023259,-0.0970508813387167,0.629655947465013,1.25125174482172,-0.0981630148852001,-1.14070366854387
"1183",1183,2003,0.9749,3,1,2,1,3,2,3,3,3,4,7,1,1,1,0,0,0,1,NA,12,21,56,5,60,5,4,1,3,3,2,2,NA,2,2,NA,6,3,3,2,-0.450046465162844,-1.14048049220168,1.59050533870346,-1.18095973017336,-0.450256919993504,1.61469303182662,-1.19449268232027,-1.14070366854387
"1184",1184,2004,2.8884,2,3,3,1,3,3,1,3,3,4,4,2,0,1,0,0,1,1,NA,10,23,20,1,61,2,1,5,1,2,2,2,2,1,1,NA,1,5,4,5,1.65051249362819,-1.14048049220168,0.516514253290854,0.448224848810157,1.65128432132652,0.524369170811924,0.453361184347281,-1.14070366854387
"1185",1185,2005,0.4356,2,3,3,1,2,2,3,2,NA,4,5,2,0,1,0,0,0,1,1,10,10,26,3,21,5,3,2,3,2,3,2,NA,5,NA,3,NA,2,3,3,0.0896575872374925,-0.457904726574139,0.874511281761722,-0.152592247110244,0.0896995137357543,0.887810457816822,-0.154340844903523,-0.457994332229513
"1186",1186,2006,1.0786,2,1,3,1,3,3,1,3,3,4,4,1,1,1,0,0,0,1,NA,9,15,41,4,61,4,3,2,3,3,3,2,NA,1,1,NA,1,3,3,3,0.0896575872374925,-0.457904726574139,0.516514253290854,-0.580142634252962,0.0896995137357543,0.524369170811924,-0.586790653069465,-0.457994332229513
"1187",1187,2007,0.3916,2,2,3,2,3,3,1,3,3,4,5,1,1,1,0,0,0,1,NA,13,11,25,1,65,1,1,4,3,3,4,4,2,1,1,NA,1,5,5,5,2.13195929521822,1.64424924773927,0.874511281761722,0.503766214581685,2.13295626145877,0.887810457816822,0.509539014365604,1.64457100469632
