"","X1","ID","weights","consq","branches","crit","facts","cong_courts","vote_duty","vote_2020","vote_house","yrs_sen","sen_diff","vote_2012","vote_sen","reg","ss","school","welfare","highway","poor","healthcare","tax_mill","ubi","red_ineq","min_wage","chance_life","job_gov","fair","reduce_extra","state","wy","ny","cong_dist","census_region","county","zip","sex","race","hisp","born","class","fs","educ","income","age","black","white","amind","asian","pi","black_favors","blm","black_deserve","black_try","slave","vote_2012_choice","dem_feel","rep_feel","lib_con_spec","lib_con_binary","int_camp","int_pol","int_med","party_reg","party_id","strong_weak","ind","seven_point","partisanship","lib_pca1","rr_pca1","pol_pca1","redist_pca1","spend_pca1","lib_pca1_scaled","redist_pca1_scaled","spend_pca1_scaled","rr_pca1_scaled","pol_pca1_scaled"
"344",344,NA,0.48629153883679,5,4,4,4,3,NA,1,1,6,0,1,1,1,3,3,2,3,2,1,3,3,3,4,5,NA,1,7,47,0,0,9,3,NA,NA,2,2,0,1,3,0,3,14,80,1,0,0,0,0,1,50,1,1,4,1,70,0,NA,2,2,3,2,3,3,NA,3,3,70,0.323657901142649,-1.46859653925251,-0.505168755763859,0.727570413924454,-0.0437844755695834,0.323781278993005,0.73986636209379,-0.0438096954049769,-1.46901053520988,-0.50524067600751
"345",345,NA,1.63188081984596,5,5,5,5,3,1,NA,NA,2,4,1,NA,1,1,3,2,2,2,3,1,2,1,1,4,1,3,1,6,0,0,13,4,NA,NA,2,1,0,1,2,0,3,11,33,0,1,0,0,0,3,60,3,3,3,5,30,30,4,1,3,2,3,5,5,NA,3,NA,0,1.10393827257458,0.152828672765782,-0.488223762680942,-2.59438783532449,-0.0437844755695834,1.10435909199692,-2.63823301888856,-0.0438096954049769,0.152871755022211,-0.488293270487131
"346",346,NA,1.26669323059056,4,4,3,4,2,NA,1,1,6,0,1,NA,1,2,2,1,3,2,NA,1,2,1,3,2,2,3,1,18,0,0,3,2,NA,NA,2,1,0,1,3,0,2,11,76,0,1,0,0,0,3,40,4,2,2,2,0,70,6,NA,3,3,3,2,2,1,NA,7,NA,-0.594565058156793,-0.267832957872501,0.185568193548252,-1.29986781775812,-1.23114036237936,-0.594791705362108,-1.32183559848181,-1.23184949859446,-0.267908459726717,0.18559461265977
"347",347,NA,NA,4,4,3,3,2,3,NA,NA,4,2,1,NA,1,3,3,3,3,3,NA,NA,NA,NA,NA,NA,7,NA,NA,26,0,0,9,2,NA,NA,2,2,0,1,NA,NA,5,2,43,1,0,0,0,0,NA,NA,NA,NA,NA,1,100,0,NA,2,3,NA,NA,1,1,1,NA,1,100,-1.07394242732373,0,0,0.741200965869473,1.21871791328657,-1.07435181238005,0.753727270519814,1.21941989417739,4.82707614439631e-17,1.10714582678795e-16
"348",348,NA,0.262085488523058,2,3,4,3,3,NA,1,1,6,0,1,1,1,3,3,3,3,3,3,3,1,3,4,5,7,1,7,25,0,0,7,1,NA,NA,2,2,0,1,2,0,7,1,32,1,0,0,0,0,1,100,1,1,5,1,65,15,2,NA,3,3,3,1,1,1,NA,1,50,-2.00767933912765,-1.46859653925251,0.185568193548252,1.46877137979393,1.21871791328657,-2.00844466313238,1.4935936326136,1.21941989417739,-1.46901053520988,0.18559461265977
"349",349,NA,0.571227777088416,5,5,3,4,2,3,NA,NA,4,2,0,NA,0,2,2,1,2,2,NA,2,2,1,4,5,1,3,3,37,0,0,9,3,NA,NA,2,1,0,1,2,0,3,11,41,0,1,0,0,0,5,0,5,4,1,NA,0,80,6,NA,3,4,3,2,2,2,NA,6,NA,0.0227548988776589,1.35359225414579,0.859360149777445,-1.00420847446728,-1.23114036237936,0.0227635730070367,-1.02117960896773,-1.23184949859446,1.35397383050537,0.85948249580667
"350",350,NA,1.18191347741607,5,5,5,5,3,1,1,1,6,0,1,NA,1,3,1,1,3,2,NA,1,2,1,3,4,1,5,1,36,0,1,20,1,NA,NA,1,1,0,1,3,1,2,18,80,0,1,0,0,0,4,50,2,3,2,2,0,85,7,NA,3,4,4,5,5,NA,1,NA,NA,1.10393827257458,0.542879648136645,1.55009709908956,-1.53426826141969,-1.83370275292851,1.10435909199692,-1.56019741227467,-1.83475896477044,0.543032685389327,1.55031778447395
"351",351,NA,0.92771335763211,5,5,2,5,3,NA,1,1,6,0,1,1,1,3,3,2,2,3,1,3,3,3,4,5,3,2,7,48,0,0,10,3,NA,NA,2,2,0,1,3,1,7,15,45,1,0,0,0,0,1,100,1,1,4,1,85,40,3,NA,2,3,3,1,1,1,NA,1,45,0.201229265779606,-1.46859653925251,0.185568193548252,0.531169605147656,0.63392441702595,0.201305974039015,0.540146377442165,0.634289557163895,-1.46901053520988,0.18559461265977
"352",352,NA,0.638152682538175,5,5,5,4,3,3,1,1,6,0,1,1,1,3,3,3,3,3,1,3,3,3,4,5,7,2,7,34,0,0,7,1,NA,NA,2,1,0,1,3,0,7,21,56,0,1,0,0,0,1,90,1,1,5,1,80,0,2,NA,3,4,4,1,1,1,NA,1,80,0.624560903407639,-1.46859653925251,1.55009709908956,1.46877137979393,1.21871791328657,0.624798984978973,1.4935936326136,1.21941989417739,-1.46901053520988,1.55031778447395
"353",353,NA,0.930133849367658,5,5,4,5,3,1,1,1,2,4,0,NA,1,3,3,2,3,3,NA,3,2,1,3,4,3,2,2,24,0,0,1,3,NA,NA,1,1,0,1,2,1,2,7,68,0,1,0,0,0,5,85,3,4,2,NA,20,65,4,2,3,3,3,3,3,NA,1,5,NA,0.803035270309587,1.35359225414579,0.185568193548252,-1.06546737409655,0.63392441702595,0.803341386010952,-1.08347378468895,0.634289557163895,1.35397383050537,0.18559461265977
"354",354,NA,0.861764263341973,5,5,5,4,3,3,1,1,6,0,1,NA,1,2,3,2,3,3,1,3,1,3,4,5,7,1,7,53,0,0,9,4,NA,NA,1,1,0,1,3,0,6,18,73,0,1,0,0,0,2,60,2,1,5,1,60,20,4,2,3,4,3,2,2,2,NA,6,40,0.624560903407639,-1.07854556388165,0.859360149777445,1.46877137979393,0.63392441702595,0.624798984978973,1.4935936326136,0.634289557163895,-1.07884960484276,0.85948249580667
"355",355,NA,0.321311121285514,5,5,3,5,3,2,1,1,6,0,1,NA,1,3,3,2,3,3,1,3,2,3,4,4,NA,2,6,4,0,0,6,4,NA,NA,2,1,0,1,2,0,6,6,69,0,1,0,0,0,3,50,3,2,5,1,50,15,4,1,3,2,2,3,3,NA,2,4,35,0.502132268044597,-0.267832957872501,-1.17896071199305,0.727570413924454,0.63392441702595,0.502323680024984,0.73986636209379,0.634289557163895,-0.267908459726717,-1.17912855915441
