"","X1","ID","weights","consq","branches","crit","facts","cong_courts","vote_duty","vote_2020","vote_house","yrs_sen","sen_diff","vote_2012","vote_sen","reg","ss","school","welfare","highway","poor","healthcare","tax_mill","ubi","red_ineq","min_wage","chance_life","job_gov","fair","reduce_extra","state","wy","ny","cong_dist","census_region","county","zip","sex","race","hisp","born","class","fs","educ","income","age","black","white","amind","asian","pi","black_favors","blm","black_deserve","black_try","slave","vote_2012_choice","dem_feel","rep_feel","lib_con_spec","lib_con_binary","int_camp","int_pol","int_med","party_reg","party_id","strong_weak","ind","seven_point","partisanship","lib_pca1","rr_pca1","pol_pca1","redist_pca1","spend_pca1","lib_pca1_scaled","redist_pca1_scaled","spend_pca1_scaled","rr_pca1_scaled","pol_pca1_scaled"
"1",1,NA,1.00573747444017,5,5,5,5,2,3,NA,NA,6,0,1,NA,1,2,1,1,2,1,3,1,2,3,3,1,1,1,7,40,0,0,4,3,NA,NA,1,3,1,0,3,0,6,21,46,0,0,1,0,0,5,0,5,5,5,2,0,85,6,NA,2,3,3,2,2,1,NA,7,NA,1.10393827257458,1.77425388478407,0.185568193548252,-0.467691069127882,-2.51141164552404,1.10435909199692,-0.475595053450497,-2.51285821733932,1.7747540452543,0.18559461265977
"2",2,NA,1.16347312190926,4,4,5,3,3,2,1,0,2,4,1,2,1,2,3,1,2,2,NA,3,2,2,4,3,3,2,4,16,0,0,2,4,NA,NA,2,4,0,1,2,0,3,13,37,0,0,0,1,0,3,70,4,2,2,5,0,50,4,1,1,2,2,5,5,NA,2,NA,NA,-0.472136422793751,-0.267832957872501,-1.17896071199305,-0.00211899099824636,-0.628577971830207,-0.472316400408118,-0.00215480196992291,-0.628940032418472,-0.267908459726717,-1.17912855915441
"3",3,NA,0.768681110109909,5,5,5,5,3,NA,1,1,6,0,1,1,1,3,3,3,3,3,3,3,1,3,4,5,4,1,6,51,0,0,2,3,NA,NA,2,1,0,1,3,1,2,17,40,0,1,0,0,0,1,80,1,1,5,1,60,0,2,NA,2,4,4,3,3,NA,3,3,60,1.10393827257458,-1.46859653925251,1.55009709908956,0.765570048809224,1.21871791328657,1.10435909199692,0.778508191235025,1.21941989417739,-1.46901053520988,1.55031778447395
"4",4,NA,0.521019534357875,5,4,4,4,2,NA,1,1,4,2,1,NA,1,2,3,2,3,2,NA,3,1,3,3,3,1,2,6,6,0,0,22,4,NA,NA,1,4,0,0,3,0,4,7,41,0,0,0,1,0,4,50,4,4,2,1,50,70,3,NA,1,2,2,2,2,2,NA,6,NA,0.323657901142649,0.963541278774928,-1.17896071199305,-0.467691069127882,-0.0437844755695834,0.323781278993005,-0.475595053450497,-0.0438096954049769,0.963812900138255,-1.17912855915441
"5",5,NA,0.965789166832749,5,5,5,1,1,NA,1,1,6,0,1,1,1,2,1,2,3,2,NA,2,3,2,1,3,1,4,4,8,0,0,4,4,NA,NA,1,5,0,1,1,0,8,22,72,0,0,0,0,1,5,0,5,3,4,1,20,70,5,NA,2,3,3,3,3,NA,2,4,NA,-0.813571204093173,0.932930623507509,0.185568193548252,-2.06109923917859,-1.24890925666788,-0.813881336074867,-2.09593183947647,-1.24962862775695,0.933193615756443,0.18559461265977
"6",6,NA,0.23470782633613,5,5,5,2,3,1,1,0,8,2,1,1,1,3,3,2,3,3,1,3,3,2,4,3,4,2,4,48,0,0,5,3,NA,NA,2,1,0,1,2,0,3,3,71,0,1,0,0,0,4,70,2,2,4,2,85,15,4,1,3,3,3,3,3,NA,3,3,70,-0.334193834926236,0.122218017498362,0.185568193548252,0.232281452663322,0.63392441702595,-0.33432122905692,0.236207011822937,0.634289557163895,0.122252470640399,0.18559461265977
"7",7,NA,0.440700134379997,4,4,3,3,1,NA,1,1,2,4,1,NA,1,3,3,3,3,3,NA,3,1,2,4,1,1,1,4,55,0,0,6,2,NA,NA,2,1,0,1,2,1,4,4,37,0,1,0,0,0,5,0,5,5,1,2,15,75,4,2,2,3,2,2,2,2,NA,6,NA,-1.07394242732373,1.77425388478407,-0.505168755763859,-0.470919878321382,1.21871791328657,-1.07435181238005,-0.478878429555642,1.21941989417739,1.7747540452543,-0.50524067600751
"8",8,NA,0.769430262817186,1,1,1,1,2,NA,NA,NA,4,2,0,NA,0,2,2,2,2,2,NA,3,1,2,4,5,1,1,4,28,0,0,4,3,NA,NA,2,1,0,1,2,1,2,3,45,0,1,0,0,0,5,NA,5,1,1,NA,50,100,NA,2,1,1,1,2,2,2,NA,6,NA,-4.48646304129094,0.0916073622309428,-2.54348961753436,-0.470919878321382,-0.646346866118733,-4.48817327349532,-0.478878429555642,-0.646719161580963,0.0916331862585876,-2.54385173096859
"9",9,NA,1.42151619894385,3,4,2,2,2,NA,NA,NA,6,0,1,NA,1,3,2,2,3,2,NA,1,2,2,4,3,NA,3,4,4,0,0,4,4,NA,NA,2,1,0,1,3,0,2,10,70,0,1,0,0,0,4,60,3,3,3,1,NA,NA,NA,2,2,1,2,3,3,NA,2,4,0,-2.47154275579011,0.542879648136645,-1.85275266822225,0.194281817778552,-0.646346866118733,-2.47248490375311,0.197565182681701,-0.646719161580963,0.543032685389327,-1.85301644230131
"10",10,NA,1.84221626331928,3,5,4,2,2,NA,1,0,6,0,0,NA,1,3,3,2,3,3,3,2,1,2,4,3,NA,5,4,6,0,0,40,4,NA,NA,1,3,1,0,3,1,4,11,43,0,0,1,0,0,5,50,5,3,4,NA,60,50,NA,1,2,3,3,1,1,2,NA,2,10,-1.86973675126013,0.932930623507509,0.185568193548252,0.194281817778552,0.63392441702595,-1.87044949178118,0.197565182681701,0.634289557163895,0.933193615756443,0.18559461265977
"11",11,NA,1.54801077365037,5,4,4,3,1,3,1,0,7,1,0,NA,1,3,3,3,3,2,3,2,3,2,3,2,7,2,4,24,0,0,4,3,NA,NA,2,3,1,0,2,0,2,9,37,0,0,1,0,0,2,0,2,4,4,NA,100,0,NA,2,2,1,1,1,1,1,NA,1,100,-0.155719468024288,0.183439328033201,-2.54348961753436,0.405422996695624,0.54100902069104,-0.155778828024942,0.412274649894572,0.541320641608518,0.183491039404022,-2.54385173096859
"12",12,NA,1.2514017508479,4,4,3,3,2,NA,1,1,4,2,1,NA,1,2,3,2,2,2,NA,2,2,1,3,3,4,4,2,55,0,0,5,2,NA,NA,1,1,0,1,3,0,2,18,55,0,1,0,0,0,2,50,2,1,4,1,50,30,4,2,2,2,2,1,1,2,NA,2,20,-1.07394242732373,-1.07854556388165,-1.17896071199305,-0.831066930434982,-0.0437844755695834,-1.07435181238005,-0.845111970896094,-0.0438096954049769,-1.07884960484276,-1.17912855915441
"13",13,NA,0.292632404266775,4,5,1,3,2,NA,1,0,4,2,0,2,0,3,3,3,2,2,NA,1,3,2,3,3,4,3,4,41,0,0,4,4,NA,NA,2,1,0,1,1,1,2,1,30,0,1,0,0,0,3,0,3,3,3,NA,0,85,6,NA,2,4,4,2,2,1,NA,7,NA,-1.67574843185371,0.152828672765782,1.55009709908956,-0.29777833428908,0.54100902069104,-1.67638722435199,-0.302810791484006,0.541320641608518,0.152871755022211,1.55031778447395
"14",14,NA,0.515282283901104,5,5,5,5,3,NA,NA,NA,6,0,1,NA,1,2,3,2,2,3,3,3,3,3,4,4,4,1,5,51,0,0,11,3,NA,NA,1,4,0,1,3,0,7,21,38,0,0,0,1,0,2,100,1,3,4,1,85,0,3,NA,3,4,4,1,1,2,NA,2,85,1.10393827257458,-0.237222302605082,1.55009709908956,0.765570048809224,0.63392441702595,1.10435909199692,0.778508191235025,0.634289557163895,-0.237289175344906,1.55031778447395
"15",15,NA,1.34300705621002,2,3,1,2,3,3,NA,NA,6,0,1,NA,0,3,2,2,2,2,NA,3,1,1,4,5,7,2,2,37,0,0,2,3,NA,NA,2,2,0,1,3,1,3,3,41,1,0,0,0,0,4,70,4,4,1,1,60,40,4,1,2,3,2,3,3,NA,3,3,20,-3.38976571508955,0.963541278774928,-0.505168755763859,0.402194187502123,-0.646346866118733,-3.39105788810823,0.408991273789427,-0.646719161580963,0.963812900138255,-0.50524067600751
"16",16,NA,0.455995341796958,5,5,1,5,1,1,NA,NA,4,2,0,NA,0,3,3,2,3,3,1,3,1,2,4,3,4,3,4,16,0,0,1,4,NA,NA,1,3,1,1,2,1,3,7,66,0,0,1,0,0,4,0,4,4,1,NA,0,100,6,NA,3,3,3,3,3,NA,1,5,NA,-0.0996737364853837,0.963541278774928,0.185568193548252,0.232281452663322,0.63392441702595,-0.0997117319469529,0.236207011822937,0.634289557163895,0.963812900138255,0.18559461265977
"17",17,NA,1.2173171900148,5,5,5,4,3,NA,1,1,6,0,1,1,1,3,3,2,2,2,1,3,2,3,4,4,3,1,7,25,0,0,5,1,NA,NA,1,1,0,1,3,0,6,22,54,0,1,0,0,0,2,70,3,2,4,1,40,30,3,NA,3,3,3,3,3,NA,3,3,10,0.624560903407639,-0.657883933243365,0.185568193548252,0.531169605147656,-0.0437844755695834,0.624798984978973,0.540146377442165,-0.0438096954049769,-0.658069390093834,0.18559461265977
"18",18,NA,0.741825200066939,5,5,5,5,2,NA,NA,NA,6,0,1,NA,1,2,3,2,3,3,1,3,2,3,4,5,5,1,7,33,0,0,1,1,NA,NA,1,1,0,1,3,0,6,20,55,0,1,0,0,0,2,85,2,2,4,1,85,16,3,NA,3,3,3,1,1,1,NA,1,69,1.10393827257458,-0.657883933243365,0.185568193548252,0.999970492470792,0.63392441702595,1.10435909199692,1.01687000502788,0.634289557163895,-0.658069390093834,0.18559461265977
"19",19,NA,0.627431722421454,5,4,5,5,3,3,1,1,6,0,1,NA,1,3,1,2,2,2,1,3,2,3,4,5,2,2,6,32,0,0,3,4,NA,NA,2,1,0,1,3,0,6,NA,62,0,1,0,0,0,5,60,2,2,4,1,85,0,2,NA,3,3,3,1,1,1,NA,1,85,1.10393827257458,0.512268992869226,0.185568193548252,0.296769161486088,-1.24890925666788,1.10435909199692,0.301784563649306,-1.24962862775695,0.512413401007515,0.18559461265977
"20",20,NA,0.549806603681382,4,4,5,3,3,NA,1,1,4,2,1,NA,1,3,3,2,3,2,2,3,2,2,4,4,4,2,4,55,0,0,2,2,NA,NA,2,1,0,1,3,0,2,5,80,0,1,0,0,0,3,70,2,2,4,1,85,30,3,NA,2,3,3,1,1,2,NA,2,55,-0.472136422793751,-0.267832957872501,0.185568193548252,0.232281452663322,-0.0437844755695834,-0.472316400408118,0.236207011822937,-0.0438096954049769,-0.267908459726717,0.18559461265977
"21",21,NA,1.10611156482799,2,2,2,3,3,NA,NA,NA,2,4,0,NA,1,1,3,1,3,2,1,1,2,1,3,2,1,2,1,42,0,0,15,1,NA,NA,1,3,1,1,3,0,7,12,31,0,0,1,0,0,4,0,2,4,3,NA,0,100,6,NA,2,2,3,2,2,1,NA,7,NA,-2.60948534365763,0.963541278774928,-0.488223762680942,-1.53426826141969,-0.628577971830207,-2.61048007510431,-1.56019741227467,-0.628940032418472,0.963812900138255,-0.488293270487131
"22",22,NA,2.13243923681911,5,5,5,4,3,3,1,1,6,0,1,NA,1,3,3,2,2,3,3,3,1,3,4,5,6,1,7,6,0,0,38,4,NA,NA,2,3,1,0,2,0,1,6,80,0,0,1,0,0,1,100,1,1,5,1,70,15,4,1,3,3,2,1,1,1,NA,1,55,0.624560903407639,-1.46859653925251,-0.505168755763859,1.23437093613236,0.63392441702595,0.624798984978973,1.25523181882074,0.634289557163895,-1.46901053520988,-0.50524067600751
"23",23,NA,6.61662904723262,5,2,5,5,3,3,1,1,6,0,0,NA,1,3,3,3,3,3,NA,3,1,3,4,4,7,2,7,36,0,1,7,1,NA,NA,1,1,0,1,3,0,6,21,24,0,1,0,0,0,2,50,3,1,4,NA,25,0,2,NA,3,4,3,3,3,NA,3,3,25,1.10393827257458,-1.07854556388165,0.859360149777445,1.46877137979393,1.21871791328657,1.10435909199692,1.4935936326136,1.21941989417739,-1.07884960484276,0.85948249580667
"24",24,NA,1.72784997916338,5,3,1,5,1,NA,0,0,2,4,1,NA,1,3,3,2,3,2,NA,2,3,2,3,3,1,3,4,4,0,0,6,4,NA,NA,1,1,0,1,1,0,7,15,55,0,1,0,0,0,3,50,3,3,3,5,30,85,6,NA,3,2,2,2,2,1,NA,7,NA,-0.0996737364853837,0.152828672765782,-1.17896071199305,-1.00097966527378,-0.0437844755695834,-0.0997117319469529,-1.01789623286258,-0.0438096954049769,0.152871755022211,-1.17912855915441
"25",25,NA,5.80953914475628,5,5,4,4,3,1,NA,NA,7,1,0,NA,0,3,3,3,3,3,1,3,1,3,4,5,4,2,7,6,0,0,20,4,NA,NA,2,3,1,0,2,0,1,6,59,0,0,1,0,0,4,50,3,3,4,NA,60,15,NA,NA,3,2,2,1,1,2,NA,2,45,0.323657901142649,0.542879648136645,-1.17896071199305,0.765570048809224,1.21871791328657,0.323781278993005,0.778508191235025,1.21941989417739,0.543032685389327,-1.17912855915441
"26",26,NA,0.609708082236748,5,4,5,4,3,1,1,1,6,0,1,1,1,3,3,2,3,3,1,3,3,3,4,4,5,2,6,13,0,0,7,3,NA,NA,1,1,0,1,3,0,6,5,73,0,1,0,0,0,1,75,2,1,4,1,80,15,2,NA,2,3,2,1,1,1,NA,1,65,0.624560903407639,-1.46859653925251,-0.505168755763859,0.999970492470792,0.63392441702595,0.624798984978973,1.01687000502788,0.634289557163895,-1.46901053520988,-0.50524067600751
"27",27,NA,0.734375412466689,4,4,4,4,3,NA,1,1,6,0,1,1,1,3,3,2,2,2,1,3,3,2,4,2,2,3,4,37,0,0,3,3,NA,NA,2,1,0,1,2,0,1,5,72,0,1,0,0,0,5,100,4,3,3,NA,20,100,NA,2,3,3,3,3,3,NA,1,5,NA,-0.293662055891803,0.932930623507509,0.185568193548252,-0.236519434659814,-0.0437844755695834,-0.29377399937614,-0.240516615762783,-0.0438096954049769,0.933193615756443,0.18559461265977
"28",28,NA,0.906416910914763,4,4,2,4,3,1,1,1,2,4,1,1,1,2,3,2,2,3,NA,3,2,2,4,3,3,2,4,51,0,0,10,3,NA,NA,1,1,0,1,3,0,6,20,50,0,1,0,0,0,4,50,3,4,4,2,40,50,5,NA,1,2,1,3,3,NA,1,5,NA,-0.895468060421783,0.963541278774928,-1.86969766130516,-0.00211899099824636,0.63392441702595,-0.895809411348076,-0.00215480196992291,0.634289557163895,0.963812900138255,-1.86996384782169
"29",29,NA,0.645981762018704,5,5,5,5,3,3,1,1,6,0,1,NA,1,2,3,3,3,3,1,3,2,3,4,4,5,1,7,36,0,1,19,1,NA,NA,1,1,0,1,4,0,8,22,66,0,1,0,0,0,1,90,1,2,5,1,60,0,5,NA,3,4,3,2,2,2,NA,6,60,1.10393827257458,-1.04793490861423,0.859360149777445,0.999970492470792,1.21871791328657,1.10435909199692,1.01687000502788,1.21941989417739,-1.04823032046095,0.85948249580667
"30",30,NA,1.47686147985125,4,3,4,3,1,3,1,0,4,2,1,NA,1,3,3,1,3,3,1,3,1,1,2,2,4,2,2,4,0,0,1,4,NA,NA,1,3,1,1,3,1,2,15,41,0,0,1,0,0,5,85,5,4,2,1,60,30,4,1,2,1,2,1,1,1,NA,1,30,-0.773039425058741,1.35359225414579,-1.85275266822225,-1.36112671738738,0.0491309207653262,-0.773334106394086,-1.38412977420304,0.0491592201504009,1.35397383050537,-1.85301644230131
"31",31,NA,1.03552120123171,1,1,1,1,2,NA,NA,NA,NA,11,1,NA,1,3,2,3,3,3,NA,1,3,2,3,3,NA,4,4,15,0,0,2,4,NA,NA,2,4,0,1,4,0,2,1,52,0,0,0,1,0,3,0,2,3,4,1,0,0,NA,2,2,3,4,3,3,NA,2,4,0,-4.48646304129094,0.152828672765782,0.876305142860362,-0.335777969173849,0.616155522737424,-4.48817327349532,-0.341452620625241,0.616510428001404,0.152871755022211,0.87642990132705
"32",32,NA,1.24082679469705,5,5,5,5,2,NA,NA,NA,8,2,0,NA,0,3,1,1,2,1,3,1,2,2,1,3,1,3,4,8,0,0,5,4,NA,NA,1,5,0,1,2,1,3,13,45,0,0,0,0,1,3,50,3,3,3,NA,0,0,4,2,1,2,2,5,5,NA,2,NA,0,1.10393827257458,0.152828672765782,-1.17896071199305,-2.06109923917859,-2.51141164552404,1.10435909199692,-2.09593183947647,-2.51285821733932,0.152871755022211,-1.17912855915441
"33",33,NA,0.207172388945155,5,5,5,5,1,3,1,1,6,0,1,1,1,3,3,1,3,3,NA,3,1,3,4,3,3,2,6,16,0,0,2,4,NA,NA,2,1,0,1,2,0,7,4,46,0,1,0,0,0,2,60,3,1,4,1,70,15,2,NA,3,4,4,1,1,1,NA,1,55,1.10393827257458,-1.07854556388165,1.55009709908956,0.531169605147656,0.0491309207653262,1.10435909199692,0.540146377442165,0.0491592201504009,-1.07884960484276,1.55031778447395
"34",34,NA,0.541301179983712,5,3,4,3,3,3,1,1,6,0,1,NA,1,3,3,1,2,3,NA,2,2,1,3,3,1,3,1,55,0,0,1,2,NA,NA,1,1,0,1,3,0,6,20,66,0,1,0,0,0,4,0,5,3,2,2,0,70,6,NA,3,3,3,2,2,1,NA,7,NA,-0.155719468024288,0.542879648136645,0.185568193548252,-1.53426826141969,0.0491309207653262,-0.155778828024942,-1.56019741227467,0.0491592201504009,0.543032685389327,0.18559461265977
"35",35,NA,1.0980220445749,5,5,5,4,3,NA,1,1,6,0,1,NA,1,2,3,3,3,3,1,3,3,3,4,5,5,1,6,36,0,1,25,1,NA,NA,2,1,0,1,3,0,8,20,60,0,1,0,0,0,1,70,1,1,5,1,60,15,2,NA,3,4,3,1,1,2,NA,2,45,0.624560903407639,-1.46859653925251,0.859360149777445,0.999970492470792,1.21871791328657,0.624798984978973,1.01687000502788,1.21941989417739,-1.46901053520988,0.85948249580667
"36",36,NA,0.642781102348334,5,5,3,3,3,NA,1,1,4,2,1,1,1,2,3,2,2,2,NA,1,2,1,3,2,1,2,1,48,0,0,36,3,NA,NA,2,1,0,1,3,0,6,10,73,0,1,0,0,0,5,50,3,4,2,2,0,85,NA,2,2,2,2,2,2,1,NA,7,NA,-0.456622470289279,1.35359225414579,-1.17896071199305,-1.53426826141969,-0.0437844755695834,-0.45679653401091,-1.56019741227467,-0.0438096954049769,1.35397383050537,-1.17912855915441
"37",37,NA,0.876708205173131,4,3,4,5,3,1,1,0,4,2,1,1,1,3,3,2,2,3,3,3,3,2,4,4,7,3,4,17,0,0,1,2,NA,NA,2,2,0,1,1,1,5,9,71,1,0,0,0,0,1,70,2,1,3,1,60,40,NA,2,3,3,2,1,1,1,NA,1,20,0.185715313275134,-1.46859653925251,-0.505168755763859,0.935482783648026,0.63392441702595,0.185786107641807,0.951292453201516,0.634289557163895,-1.46901053520988,-0.50524067600751
"38",38,NA,0.776852705747462,5,5,5,4,3,3,1,1,4,2,1,NA,1,2,3,3,2,3,1,3,1,3,4,5,5,1,7,39,0,0,12,2,NA,NA,2,1,0,1,3,0,8,3,28,0,1,0,0,0,1,100,1,1,5,1,40,10,1,NA,2,4,3,3,3,NA,3,3,30,0.624560903407639,-1.46859653925251,0.859360149777445,0.999970492470792,1.21871791328657,0.624798984978973,1.01687000502788,1.21941989417739,-1.46901053520988,0.85948249580667
"39",39,NA,0.480050650683872,5,5,5,5,3,NA,1,1,6,0,1,1,1,3,3,3,3,3,3,3,1,1,4,5,7,1,2,5,0,0,3,3,NA,NA,2,1,0,1,3,0,7,8,73,0,1,0,0,0,2,85,1,5,5,1,85,0,1,NA,3,4,4,1,1,1,NA,1,85,1.10393827257458,0.604100958671484,1.55009709908956,0.402194187502123,1.21871791328657,1.10435909199692,0.408991273789427,1.21941989417739,0.60427125415295,1.55031778447395
"40",40,NA,0.373316602413687,4,4,5,4,2,NA,1,1,6,0,1,1,1,2,2,2,3,2,NA,1,2,1,3,4,2,4,1,13,0,0,6,3,NA,NA,1,1,0,1,3,0,6,NA,NA,0,1,0,0,0,4,0,3,2,3,2,0,60,6,NA,3,4,4,2,2,1,NA,7,NA,0.0072409463731869,0.122218017498362,1.55009709908956,-1.29986781775812,-0.646346866118733,0.00724370660982862,-1.32183559848181,-0.646719161580963,0.122252470640399,1.55031778447395
"41",41,NA,0.524077502362527,4,4,1,4,3,3,1,1,6,0,1,1,1,2,3,1,2,2,NA,2,2,1,3,3,3,2,1,48,0,0,24,3,NA,NA,2,1,0,1,3,0,6,19,37,0,1,0,0,0,4,40,3,4,4,2,30,85,6,NA,1,2,2,2,2,1,NA,7,NA,-1.19637106268677,0.963541278774928,-1.17896071199305,-1.06546737409655,-0.628577971830207,-1.19682711733404,-1.08347378468895,-0.628940032418472,0.963812900138255,-1.17912855915441
"42",42,NA,0.364906512334059,5,3,3,3,3,1,1,1,2,4,1,NA,1,3,3,3,3,3,3,2,1,2,4,3,5,2,4,42,0,0,3,1,NA,NA,2,2,0,1,2,0,5,4,56,1,0,0,0,0,3,90,2,3,3,1,78,NA,4,2,2,3,3,1,1,1,NA,1,87,-0.456622470289279,0.152828672765782,0.185568193548252,0.46668189632489,1.21871791328657,-0.45679653401091,0.474568825615796,1.21941989417739,0.152871755022211,0.18559461265977
"43",43,NA,0.630983449532453,5,5,1,4,2,3,1,1,6,0,1,1,1,1,1,1,3,1,3,1,2,1,3,3,1,5,1,35,0,0,1,4,NA,NA,1,1,0,1,3,0,7,10,48,0,1,0,0,0,4,0,3,4,1,2,0,15,7,NA,3,4,4,2,2,1,NA,7,NA,-0.579051105652321,0.963541278774928,1.55009709908956,-1.53426826141969,-2.51141164552404,-0.5792718389649,-1.56019741227467,-2.51285821733932,0.963812900138255,1.55031778447395
"44",44,NA,0.644167378141637,4,4,4,5,3,3,1,1,6,0,1,1,1,3,2,1,2,2,3,1,2,1,3,1,1,4,1,20,0,0,4,2,NA,NA,2,1,0,1,3,0,6,19,53,0,1,0,0,0,5,0,5,5,1,2,10,95,7,NA,3,3,3,2,2,1,NA,7,NA,0.185715313275134,1.77425388478407,0.185568193548252,-1.53426826141969,-1.23114036237936,0.185786107641807,-1.56019741227467,-1.23184949859446,1.7747540452543,0.18559461265977
"45",45,NA,0.931300250695248,4,4,3,4,2,1,1,1,4,2,1,NA,1,2,1,1,2,2,1,1,3,2,3,2,4,4,4,6,0,0,22,4,NA,NA,2,1,0,1,3,0,5,22,72,0,1,0,0,0,3,50,3,3,3,5,40,85,3,NA,2,2,2,3,3,NA,1,5,NA,-0.594565058156793,0.152828672765782,-1.17896071199305,-0.29777833428908,-1.83370275292851,-0.594791705362108,-0.302810791484006,-1.83475896477044,0.152871755022211,-1.17912855915441
"46",46,NA,0.242525438675044,3,2,3,3,2,NA,1,1,4,2,1,NA,1,2,3,1,3,1,1,2,3,2,4,3,NA,3,4,29,0,0,3,2,NA,NA,1,1,0,1,3,0,2,1,55,0,1,0,0,0,3,0,3,3,3,2,0,100,6,NA,2,3,3,2,2,1,NA,7,NA,-1.69126238435818,0.152828672765782,0.185568193548252,0.194281817778552,-1.30628686442574,-1.6919070907492,0.197565182681701,-1.30703928498734,0.152871755022211,0.18559461265977
"47",47,NA,0.921854113170443,5,5,4,5,3,NA,1,1,4,2,1,NA,1,3,3,2,3,3,2,3,2,2,4,2,2,2,4,42,0,0,8,1,NA,NA,1,1,0,1,3,0,4,10,79,0,1,0,0,0,3,60,2,1,5,1,85,0,2,NA,3,4,4,1,1,1,NA,1,85,0.803035270309587,-0.688494588510784,1.55009709908956,-0.236519434659814,0.63392441702595,0.803341386010952,-0.240516615762783,0.634289557163895,-0.688688674475645,1.55031778447395
"48",48,NA,0.677811863374512,5,5,5,4,3,NA,1,1,6,0,1,1,1,2,3,2,2,2,2,3,3,3,4,4,4,2,7,27,0,0,4,2,NA,NA,1,1,0,1,3,0,6,21,38,0,1,0,0,0,2,60,3,4,4,1,80,0,3,NA,2,3,3,3,3,NA,3,3,80,0.624560903407639,0.183439328033201,0.185568193548252,0.765570048809224,-0.0437844755695834,0.624798984978973,0.778508191235025,-0.0438096954049769,0.183491039404022,0.18559461265977
"49",49,NA,0.320813808755233,4,4,3,4,3,NA,1,1,1,5,0,NA,1,2,3,1,3,2,NA,3,2,2,2,4,4,2,4,6,0,0,32,4,NA,NA,2,4,0,0,3,0,6,12,42,0,0,0,1,0,4,20,4,2,1,NA,20,100,4,1,2,2,2,2,2,1,NA,7,NA,-0.594565058156793,0.122218017498362,-1.17896071199305,-0.827838121241482,-0.628577971830207,-0.594791705362108,-0.841828594790949,-0.628940032418472,0.122252470640399,-1.17912855915441
"50",50,NA,0.368948993952936,5,5,5,4,3,3,1,1,8,2,1,NA,1,3,3,2,3,3,1,3,3,1,4,4,5,2,3,29,0,0,2,2,NA,NA,1,1,0,1,3,0,7,15,70,0,1,0,0,0,4,70,2,2,4,1,70,30,6,NA,3,3,3,3,3,NA,3,3,40,0.624560903407639,0.122218017498362,0.185568193548252,-0.0666066998210125,0.63392441702595,0.624798984978973,-0.0677323537962918,0.634289557163895,0.122252470640399,0.18559461265977
"51",51,NA,0.693179172080342,4,3,3,4,3,3,NA,NA,4,2,1,NA,1,1,3,1,3,3,3,3,2,1,4,5,7,1,2,48,0,0,18,3,NA,NA,2,5,0,1,2,0,4,NA,50,0,0,0,0,1,1,40,1,1,5,1,100,70,4,2,3,3,3,1,1,1,NA,1,30,-0.594565058156793,-1.46859653925251,0.185568193548252,0.402194187502123,0.0491309207653262,-0.594791705362108,0.408991273789427,0.0491592201504009,-1.46901053520988,0.18559461265977
"52",52,NA,0.262082586988751,5,5,5,5,3,3,1,1,4,2,1,1,1,3,3,3,3,3,1,3,1,3,4,5,4,1,6,51,0,0,3,3,NA,NA,2,2,0,1,3,0,7,NA,50,1,0,0,0,0,1,90,1,1,5,1,80,0,2,NA,3,3,4,1,1,1,NA,1,80,1.10393827257458,-1.46859653925251,0.876305142860362,0.765570048809224,1.21871791328657,1.10435909199692,0.778508191235025,1.21941989417739,-1.46901053520988,0.87642990132705
"53",53,NA,NA,4,3,3,4,2,NA,NA,NA,4,2,1,NA,0,2,3,2,2,3,NA,NA,NA,NA,NA,NA,3,NA,NA,39,0,0,1,2,NA,NA,2,1,0,1,NA,NA,1,1,27,0,1,0,0,0,NA,NA,NA,NA,NA,2,50,50,4,1,2,NA,NA,3,3,NA,2,4,0,-0.594565058156793,0,0,-0.196400808776799,0.63392441702595,-0.594791705362108,-0.199719984651624,0.634289557163895,4.82707614439631e-17,1.10714582678795e-16
"54",54,NA,1.68129338717785,3,3,3,3,2,2,NA,NA,6,0,0,NA,0,3,3,3,3,3,NA,2,3,2,4,1,7,3,4,21,0,0,5,3,NA,NA,1,1,0,1,3,0,2,1,62,0,1,0,0,0,2,15,1,4,3,NA,0,70,NA,2,2,3,3,2,2,1,NA,7,NA,-1.69126238435818,0.183439328033201,0.185568193548252,0.935482783648026,1.21871791328657,-1.6919070907492,0.951292453201516,1.21941989417739,0.183491039404022,0.18559461265977
"55",55,NA,1.01067733410734,5,4,1,3,2,NA,1,1,6,0,1,NA,1,3,3,2,3,2,NA,1,2,1,3,3,1,5,1,42,0,0,13,1,NA,NA,2,NA,NA,1,3,0,5,NA,51,0,0,0,0,0,5,0,5,4,1,2,0,70,4,2,3,3,1,3,3,NA,2,4,NA,-1.05842847481926,1.35359225414579,-1.19590570507597,-1.53426826141969,-0.0437844755695834,-1.05883194598285,-1.56019741227467,-0.0438096954049769,1.35397383050537,-1.19607596467479
"56",56,NA,NA,5,4,4,4,3,NA,NA,NA,6,0,1,NA,1,3,3,2,3,2,NA,NA,NA,NA,NA,NA,1,NA,NA,4,0,0,4,4,NA,NA,1,1,0,1,NA,NA,3,15,60,0,1,0,0,0,NA,NA,NA,NA,NA,2,40,70,6,NA,2,NA,NA,2,2,1,NA,7,NA,0.323657901142649,0,0,-0.665201696099935,-0.0437844755695834,0.323781278993005,-0.676443612237344,-0.0438096954049769,4.82707614439631e-17,1.10714582678795e-16
